Instance,Alpha,RCL_size,Vehicles,Distance,ExecutionTime
25-ce-6.txt,0.1,2,2,275.14,120.01
25-ch-3.txt,0.10,2,3,224.05,109.69
25-ch-4.txt,0.10,2,3,208.75,111.20
25-rce-31.txt,0.10,2,1,697.97,120.01
25-rch-28.txt,0.10,2,3,346.51,98.14
25-rch-29.txt,0.10,2,3,296.54,108.58
25-re-19.txt,0.10,2,2,625.73,120.01
25-re-20.txt,0.10,2,2,526.47,120.02
25-re-22.txt,0.10,2,1,455.70,120.01
25-re-23.txt,0.10,2,1,434.67,120.01
25-re-24.txt,0.10,2,1,626.25,120.01
25-rh-13.txt,0.10,2,4,442.99,99.21
25-rh-18.txt,0.10,2,4,434.44,96.53
50-ce-7.txt,0.10,2,2,478.12,120.07
50-ce-10.txt,0.10,2,2,408.61,120.05
50-ch-1.txt,0.10,2,5,410.91,120.02
50-rce-32.txt,0.10,2,2,811.45,120.08
50-rch-26.txt,0.10,2,6,792.12,120.01
50-re-21.txt,0.10,2,2,648.17,120.03
50-rh-12.txt,0.10,2,8,944.65,120.01
50-rh-14.txt,0.10,2,6,790.58,120.03
50-rh-15.txt,0.10,2,9,1009.57,120.01
50-rh-16.txt,0.10,2,6,715.77,120.03
100-ce-8.txt,0.10,2,3,725.15,120.23
100-ce-9.txt,0.10,2,3,916.12,120.34
100-ch-2.txt,0.10,2,10,977.38,120.09
100-ch-5.txt,0.10,2,10,878.52,120.05
100-rce-33.txt,0.10,2,4,2402.16,120.31
100-rch-25.txt,0.10,2,16,1938.50,120.05
100-rch-27.txt,0.10,2,16,2000.89,120.11
100-rch-30.txt,0.10,2,12,1422.04,120.05
100-rh-11.txt,0.10,2,19,1940.61,120.02
100-rh-17.txt,0.10,2,12,1395.90,120.03
200-ce-36.txt,0.10,2,7,2696.21,122.03
200-ce-37.txt,0.10,2,7,2516.92,120.01
200-ch-34.txt,0.10,2,20,3642.33,120.02
200-ch-35.txt,0.10,2,20,3727.19,120.25
200-rce-42.txt,0.10,2,6,4324.74,122.62
200-rce-43.txt,0.10,2,5,3962.23,120.38
200-rch-41.txt,0.10,2,19,4158.23,120.31
200-re-39.txt,0.10,2,4,3378.75,120.16
200-re-40.txt,0.10,2,4,5117.56,124.02
200-rh-38.txt,0.10,2,20,5519.59,120.38
400-ce-46.txt,0.10,2,13,6905.87,123.90
400-ce-47.txt,0.10,2,14,6874.26,121.28
400-ch-44.txt,0.10,2,38,9795.31,121.40
400-ch-45.txt,0.10,2,39,11058.66,120.05
400-rce-51.txt,0.10,2,13,12820.44,127.35
400-rch-50.txt,0.10,2,38,10446.83,120.71
400-re-49.txt,0.10,2,8,10606.33,125.99
400-rh-48.txt,0.10,2,36,10749.41,121.26
600-ce-53.txt,0.10,2,20,15224.83,126.69
600-ch-52.txt,0.10,2,59,19611.27,120.94
600-rce-58.txt,0.10,2,12,16968.64,150.12
600-rch-57.txt,0.10,2,55,21076.82,122.72
600-re-56.txt,0.10,2,12,15562.55,126.97
600-rh-54.txt,0.10,2,58,28438.52,122.46
600-rh-55.txt,0.10,2,55,25098.59,120.85
800-ce-60.txt,0.10,2,25,19642.59,123.67
800-ch-59.txt,0.10,2,82,37374.50,123.02
800-rce-64.txt,0.10,2,20,33184.95,137.19
800-rch-63.txt,0.10,2,76,40889.86,124.23
800-re-62.txt,0.10,2,16,39989.76,137.16
800-rh-61.txt,0.10,2,87,58076.50,125.75
