Instance,Alpha,RCL_size,Vehicles,Distance,ExecutionTime
25-ce-6.txt,0.2,2,2,251.85,120.01
25-ch-3.txt,0.20,2,3,201.43,111.26
25-ch-4.txt,0.20,2,3,223.95,109.87
25-rce-31.txt,0.20,2,2,468.59,120.01
25-rch-28.txt,0.20,2,3,346.51,97.91
25-rch-29.txt,0.20,2,3,296.54,115.12
25-re-19.txt,0.20,2,2,595.82,120.02
25-re-20.txt,0.20,2,2,526.59,120.01
25-re-22.txt,0.20,2,1,445.66,120.01
25-re-23.txt,0.20,2,1,434.67,120.02
25-re-24.txt,0.20,2,1,661.98,120.01
25-rh-13.txt,0.20,2,4,448.50,98.25
25-rh-18.txt,0.20,2,4,433.82,95.72
50-ce-7.txt,0.20,2,2,476.91,120.05
50-ce-10.txt,0.20,2,2,416.40,120.04
50-ch-1.txt,0.20,2,5,410.91,120.03
50-rce-32.txt,0.20,2,2,816.44,120.07
50-rch-26.txt,0.20,2,6,779.08,120.02
50-re-21.txt,0.20,2,2,634.56,120.12
50-rh-12.txt,0.20,2,8,970.73,120.02
50-rh-14.txt,0.20,2,6,763.31,120.01
50-rh-15.txt,0.20,2,9,1003.67,120.00
50-rh-16.txt,0.20,2,6,713.66,120.01
100-ce-8.txt,0.20,2,3,672.72,120.14
100-ce-9.txt,0.20,2,4,795.68,120.18
100-ch-2.txt,0.20,2,10,975.90,120.02
100-ch-5.txt,0.20,2,10,871.20,120.06
100-rce-33.txt,0.20,2,4,2319.59,120.19
100-rch-25.txt,0.20,2,16,1987.83,120.05
100-rch-27.txt,0.20,2,15,1985.11,120.09
100-rch-30.txt,0.20,2,12,1462.96,120.03
100-rh-11.txt,0.20,2,19,2008.44,120.06
100-rh-17.txt,0.20,2,13,1450.70,120.07
200-ce-36.txt,0.20,2,7,2802.06,121.79
200-ce-37.txt,0.20,2,7,2503.56,122.29
200-ch-34.txt,0.20,2,20,3748.63,120.25
200-ch-35.txt,0.20,2,20,3614.70,120.11
200-rce-42.txt,0.20,2,6,6084.61,120.63
200-rce-43.txt,0.20,2,5,3661.10,123.71
200-rch-41.txt,0.20,2,19,4420.07,120.16
200-re-39.txt,0.20,2,4,3315.84,121.86
200-re-40.txt,0.20,2,5,4842.83,121.73
200-rh-38.txt,0.20,2,19,6187.23,120.27
400-ce-46.txt,0.20,2,13,6799.75,125.31
400-ce-47.txt,0.20,2,14,6947.58,121.47
400-ch-44.txt,0.20,2,39,10052.00,120.62
400-ch-45.txt,0.20,2,39,10939.57,121.10
400-rce-51.txt,0.20,2,13,10992.39,127.04
400-rch-50.txt,0.20,2,37,12030.50,121.13
400-re-49.txt,0.20,2,8,10934.30,127.10
400-rh-48.txt,0.20,2,36,10731.18,120.96
600-ce-53.txt,0.20,2,21,14184.89,126.06
600-ch-52.txt,0.20,2,59,19118.26,122.91
600-rce-58.txt,0.20,2,12,16863.38,152.04
600-rch-57.txt,0.20,2,55,20296.95,122.78
600-re-56.txt,0.20,2,11,20100.81,131.11
600-rh-54.txt,0.20,2,58,28218.48,123.11
600-rh-55.txt,0.20,2,55,25332.96,120.88
800-ce-60.txt,0.20,2,26,17790.83,122.13
800-ch-59.txt,0.20,2,83,38365.93,121.02
800-rce-64.txt,0.20,2,20,33511.42,138.07
800-rch-63.txt,0.20,2,76,41284.67,124.40
800-re-62.txt,0.20,2,17,42360.95,137.33
800-rh-61.txt,0.20,2,87,58523.00,123.43
